EmployeeNumber,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
69172,28,No,Travel_Rarely,Research & Development,2,4,Technical Degree,2,Male,3,2,Healthcare Representative,3,Married,217267,2,No,24,3,4,2,39,5,1,14,13,12,3
69173,21,No,Travel_Frequently,Sales,30,5,Human Resources,2,Male,2,3,Manager,2,Single,237570,1,No,21,3,4,3,38,0,3,4,10,7,6
69174,53,No,Non-Travel,Human Resources,29,3,Human Resources,1,Female,1,1,Healthcare Representative,3,Divorced,83432,6,No,23,3,2,0,27,2,4,10,3,8,4
69175,38,No,Travel_Rarely,Research & Development,13,3,Medical,4,Male,1,4,Manager,3,Married,248958,0,Yes,16,4,3,1,10,1,2,25,17,5,15
69176,39,No,Travel_Frequently,Research & Development,24,4,Marketing,3,Female,1,2,Human Resources,4,Married,90080,9,No,23,3,4,2,31,6,2,33,18,14,6
69177,27,No,Travel_Frequently,Human Resources,25,2,Medical,2,Female,2,5,Manager,1,Divorced,193221,4,No,18,3,2,2,40,0,4,30,8,3,10
69178,40,Yes,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,3,3,Research Scientist,1,Single,97417,9,Yes,24,3,4,1,13,2,2,10,13,14,11
69179,22,Yes,Non-Travel,Research & Development,10,1,Human Resources,4,Female,2,3,Sales Executive,3,Divorced,235550,5,Yes,25,3,3,2,24,2,2,38,11,15,9
69180,29,No,Non-Travel,Research & Development,29,2,Medical,4,Female,3,4,Manager,4,Single,83844,5,No,15,4,2,0,25,0,2,5,18,5,15
69181,47,No,Travel_Rarely,Sales,7,5,Marketing,1,Female,2,4,Laboratory Technician,2,Single,148631,0,No,25,3,3,0,11,2,2,15,13,9,11
69182,50,No,Non-Travel,Sales,12,3,Human Resources,2,Female,2,4,Manager,1,Single,218576,5,No,14,3,2,0,12,0,4,4,7,9,16
69183,54,Yes,Travel_Rarely,Sales,23,1,Life Sciences,3,Male,3,5,Sales Executive,4,Married,218277,5,Yes,22,3,2,2,18,4,2,18,10,10,6
69184,35,Yes,Travel_Frequently,Sales,4,4,Marketing,1,Female,4,3,Manufacturing Director,3,Married,105843,0,No,25,3,3,2,14,2,4,3,4,4,3
69185,21,No,Non-Travel,Sales,21,4,Medical,2,Male,4,5,Manager,2,Divorced,221929,6,No,13,3,3,1,20,5,1,10,5,10,3
69186,44,No,Travel_Rarely,Research & Development,3,5,Life Sciences,2,Female,2,3,Research Scientist,4,Divorced,173998,0,No,23,4,2,2,4,6,1,8,7,14,7
69187,40,No,Travel_Rarely,Sales,2,4,Medical,2,Male,1,5,Human Resources,3,Married,48082,9,Yes,25,3,3,3,36,1,2,15,0,2,11
69188,23,No,Travel_Rarely,Human Resources,24,2,Life Sciences,2,Female,4,5,Research Scientist,2,Married,181788,6,No,13,3,2,1,21,0,4,35,1,6,15
69189,24,No,Travel_Frequently,Human Resources,16,3,Other,1,Male,1,3,Healthcare Representative,3,Married,203266,4,No,20,3,2,1,11,6,3,4,3,6,8
69190,36,No,Travel_Frequently,Human Resources,5,2,Life Sciences,4,Female,1,2,Manufacturing Director,1,Divorced,78372,0,No,25,3,4,3,10,2,3,32,5,1,10
69191,32,No,Travel_Frequently,Sales,18,4,Life Sciences,1,Male,3,5,Laboratory Technician,1,Married,197188,8,No,12,3,2,0,9,5,3,1,5,4,4
69192,39,No,Non-Travel,Sales,28,2,Marketing,3,Female,4,2,Laboratory Technician,2,Divorced,169318,2,Yes,14,3,2,2,8,5,2,13,8,1,6
69193,49,No,Non-Travel,Sales,11,3,Other,4,Female,3,5,Research Scientist,1,Single,132867,2,No,22,3,3,1,4,0,4,27,13,10,17
69194,32,Yes,Travel_Frequently,Sales,13,5,Medical,4,Female,2,2,Human Resources,1,Single,73803,0,No,22,3,4,2,9,2,3,20,2,11,0
69195,23,No,Travel_Rarely,Human Resources,26,5,Other,2,Female,4,3,Healthcare Representative,3,Divorced,220058,9,Yes,19,3,4,0,9,1,2,18,5,9,16
69196,23,No,Non-Travel,Human Resources,16,2,Other,2,Male,3,3,Laboratory Technician,3,Divorced,184175,2,No,20,3,1,0,34,0,4,33,18,1,5
69197,23,No,Travel_Frequently,Human Resources,1,4,Marketing,1,Female,1,3,Manager,4,Married,55838,3,No,18,4,2,1,38,2,2,16,5,12,9
69198,29,Yes,Travel_Frequently,Sales,4,2,Medical,3,Female,2,1,Research Scientist,2,Divorced,120641,8,No,11,3,4,0,22,1,1,20,4,5,3
69199,19,No,Non-Travel,Human Resources,3,2,Marketing,1,Female,3,5,Human Resources,1,Divorced,161938,5,No,18,3,4,3,19,6,3,39,17,15,15
69200,42,No,Travel_Frequently,Human Resources,29,5,Technical Degree,3,Male,4,2,Manager,4,Single,39608,7,No,20,4,1,2,12,4,3,29,5,4,0
69201,21,No,Non-Travel,Human Resources,14,1,Marketing,1,Female,1,1,Laboratory Technician,4,Single,105972,9,No,11,3,4,3,31,2,4,9,8,15,1
69202,23,Yes,Travel_Frequently,Human Resources,10,2,Technical Degree,2,Female,2,1,Sales Executive,4,Married,84889,9,No,22,3,2,1,16,6,2,26,12,10,11
69203,59,No,Travel_Rarely,Research & Development,24,5,Technical Degree,4,Female,4,3,Manufacturing Director,1,Divorced,23364,9,No,24,4,2,3,10,5,1,2,16,14,9
69204,54,No,Travel_Rarely,Sales,17,3,Marketing,4,Male,4,1,Manufacturing Director,1,Divorced,248913,0,Yes,12,3,4,0,12,1,3,38,9,7,11
69205,55,No,Non-Travel,Sales,1,4,Medical,3,Female,1,1,Manager,4,Divorced,21690,1,Yes,24,3,3,2,32,6,4,19,9,9,11
69206,31,No,Travel_Frequently,Research & Development,27,1,Medical,3,Male,3,2,Sales Executive,3,Single,100509,2,No,18,3,3,0,37,2,3,4,7,6,4
69207,36,No,Non-Travel,Research & Development,15,3,Marketing,3,Female,4,4,Research Scientist,4,Single,236048,9,Yes,11,3,2,1,30,6,1,10,13,12,6
69208,24,No,Travel_Frequently,Sales,28,3,Life Sciences,2,Male,2,4,Healthcare Representative,2,Single,170176,3,No,10,3,4,1,1,1,2,26,2,14,8
69209,35,No,Non-Travel,Research & Development,7,3,Other,1,Female,1,3,Healthcare Representative,4,Married,239644,6,Yes,16,3,3,1,36,2,3,0,18,15,3
69210,25,No,Travel_Frequently,Human Resources,2,2,Human Resources,2,Female,1,2,Healthcare Representative,3,Married,105141,4,Yes,23,4,4,0,22,5,4,26,12,7,16
69211,45,Yes,Travel_Rarely,Sales,27,4,Marketing,1,Male,1,5,Sales Executive,1,Single,181651,7,No,17,3,4,0,23,1,2,11,8,5,13
69212,38,No,Non-Travel,Sales,6,3,Marketing,2,Female,3,5,Manager,1,Single,110735,3,Yes,18,3,2,2,14,6,3,23,17,12,11
69213,52,No,Travel_Frequently,Sales,6,5,Technical Degree,2,Female,4,3,Manufacturing Director,3,Married,180868,3,Yes,21,3,2,1,12,5,2,3,13,13,4
69214,27,No,Travel_Rarely,Human Resources,7,5,Other,2,Male,3,5,Manufacturing Director,2,Married,37202,4,No,19,3,4,3,16,6,4,22,4,15,3
69215,45,No,Travel_Frequently,Human Resources,26,3,Marketing,2,Female,2,2,Healthcare Representative,4,Married,15296,8,No,11,3,1,2,24,0,2,11,2,7,11
69216,36,No,Travel_Frequently,Sales,2,3,Technical Degree,1,Female,1,1,Human Resources,4,Single,188339,0,No,12,4,1,0,37,4,4,37,15,12,8
69217,52,No,Travel_Frequently,Sales,14,2,Human Resources,2,Male,3,3,Manufacturing Director,4,Married,137716,2,No,19,3,1,1,5,6,1,34,2,7,12
69218,45,No,Non-Travel,Human Resources,18,4,Other,3,Female,4,3,Manager,1,Married,175962,7,No,13,3,2,3,28,6,3,25,1,13,8
69219,20,No,Travel_Frequently,Human Resources,25,2,Medical,2,Male,4,4,Manager,4,Single,34994,3,No,24,3,2,1,3,2,4,20,7,8,5
69220,56,No,Non-Travel,Sales,14,4,Other,4,Female,4,4,Laboratory Technician,4,Divorced,136203,9,Yes,19,4,3,2,20,6,4,18,5,5,2
69221,44,No,Travel_Rarely,Human Resources,27,5,Human Resources,2,Female,4,5,Human Resources,1,Divorced,218418,2,No,21,3,2,3,14,6,4,0,15,12,1
69222,34,No,Non-Travel,Sales,15,3,Marketing,2,Female,2,2,Healthcare Representative,3,Divorced,152931,9,No,18,4,3,2,32,1,2,7,9,8,13
69223,32,No,Non-Travel,Human Resources,7,4,Medical,2,Female,2,1,Laboratory Technician,3,Married,60424,1,No,10,3,1,1,30,5,2,19,1,13,12
69224,59,No,Travel_Rarely,Sales,7,4,Technical Degree,4,Female,4,3,Manager,3,Divorced,241994,8,No,22,3,3,1,20,3,2,35,14,10,1
69225,56,Yes,Travel_Rarely,Sales,6,1,Other,3,Male,4,2,Manager,2,Divorced,93424,4,No,11,3,1,3,9,1,1,39,18,3,9
69226,39,No,Travel_Rarely,Human Resources,12,3,Medical,4,Male,1,5,Sales Executive,2,Married,53761,6,No,23,3,1,1,0,2,3,31,0,12,16
69227,37,No,Travel_Frequently,Sales,14,2,Human Resources,2,Male,1,1,Laboratory Technician,2,Married,136892,5,Yes,19,3,3,3,24,1,4,1,12,11,9
69228,44,No,Non-Travel,Research & Development,7,4,Other,1,Female,1,2,Sales Executive,2,Married,210918,5,No,12,3,1,2,10,4,4,15,17,3,14
69229,52,Yes,Travel_Rarely,Sales,2,2,Marketing,3,Female,2,4,Laboratory Technician,2,Divorced,181391,7,No,24,3,2,1,11,5,1,36,7,13,3
69230,22,No,Non-Travel,Research & Development,23,4,Life Sciences,2,Female,4,2,Laboratory Technician,2,Single,80754,4,No,25,3,4,1,0,4,4,9,6,14,2
69231,19,No,Non-Travel,Sales,14,5,Marketing,1,Male,2,1,Sales Executive,4,Married,249213,4,No,19,4,3,0,16,3,1,22,14,14,15
69232,58,Yes,Non-Travel,Research & Development,28,5,Technical Degree,2,Female,2,4,Laboratory Technician,1,Divorced,248856,0,No,17,4,2,3,36,2,1,8,10,9,12
69233,37,No,Non-Travel,Sales,6,5,Other,1,Female,4,1,Human Resources,1,Married,26394,0,Yes,19,3,1,3,12,6,1,10,16,10,16
69234,24,Yes,Travel_Frequently,Research & Development,9,3,Other,4,Female,1,5,Manager,4,Married,232955,1,No,23,3,3,0,25,2,2,1,11,9,8
69235,53,Yes,Non-Travel,Research & Development,24,2,Marketing,4,Male,4,5,Manager,3,Married,17633,6,No,17,3,2,0,30,1,4,25,1,3,13
69236,25,No,Non-Travel,Human Resources,15,1,Human Resources,1,Male,1,3,Manager,2,Married,144128,9,No,16,3,1,1,6,4,3,29,13,12,12
69237,44,No,Non-Travel,Research & Development,8,2,Medical,1,Male,2,4,Manager,4,Single,25185,3,No,11,3,3,2,22,3,1,26,5,11,3
69238,23,Yes,Travel_Rarely,Human Resources,26,2,Technical Degree,1,Female,3,5,Laboratory Technician,2,Married,40994,1,No,18,4,1,1,38,3,4,10,8,0,5
69239,41,No,Travel_Rarely,Sales,25,1,Technical Degree,4,Male,3,1,Manufacturing Director,3,Single,171714,6,No,18,3,1,1,35,5,4,25,5,3,14
69240,53,No,Non-Travel,Sales,25,1,Life Sciences,4,Male,1,2,Manufacturing Director,2,Divorced,69061,0,No,17,3,2,3,21,0,3,38,18,4,8
69241,22,No,Travel_Rarely,Sales,11,2,Other,3,Male,4,3,Human Resources,1,Divorced,48802,5,No,25,3,3,0,36,0,2,12,2,7,2
69242,37,No,Travel_Frequently,Sales,9,3,Marketing,4,Male,1,4,Sales Executive,4,Single,173672,0,No,20,3,2,0,28,1,3,35,6,11,12
69243,37,No,Travel_Frequently,Sales,25,5,Marketing,3,Female,3,5,Human Resources,3,Divorced,177138,0,No,19,3,2,3,40,6,1,1,2,5,3
69244,58,Yes,Non-Travel,Human Resources,10,2,Marketing,1,Female,4,1,Human Resources,3,Single,191688,2,Yes,24,4,3,2,30,4,4,18,5,14,8
69245,57,Yes,Travel_Frequently,Sales,13,1,Human Resources,4,Female,1,4,Laboratory Technician,2,Divorced,217491,1,Yes,21,3,4,3,28,2,4,15,6,15,14
69246,51,No,Travel_Frequently,Human Resources,8,3,Other,2,Male,4,3,Research Scientist,2,Married,75428,1,Yes,24,3,3,3,9,2,3,38,14,12,13
69247,56,Yes,Travel_Frequently,Sales,29,1,Human Resources,2,Male,4,4,Laboratory Technician,4,Divorced,89707,5,No,12,4,2,1,38,0,3,3,10,15,12
69248,27,No,Non-Travel,Human Resources,3,1,Other,3,Female,1,2,Human Resources,1,Divorced,144975,6,No,20,3,4,0,32,0,2,32,10,4,9
69249,20,No,Travel_Frequently,Research & Development,8,3,Other,1,Male,4,5,Human Resources,1,Single,105366,5,No,16,3,2,1,40,2,1,16,3,8,16
69250,51,No,Travel_Rarely,Human Resources,12,1,Human Resources,1,Female,4,2,Human Resources,4,Married,112935,3,No,22,4,3,3,37,4,3,35,17,1,0
69251,52,No,Travel_Frequently,Human Resources,15,5,Life Sciences,3,Male,3,4,Research Scientist,3,Single,248715,2,No,10,3,1,1,22,0,4,18,7,5,15
69252,54,No,Non-Travel,Research & Development,5,5,Life Sciences,4,Female,1,5,Manufacturing Director,4,Single,39339,3,No,25,3,1,1,8,3,3,26,9,12,6
69253,55,No,Non-Travel,Human Resources,2,1,Human Resources,3,Female,1,3,Laboratory Technician,1,Married,94558,0,No,10,3,3,2,3,1,3,19,16,13,3
69254,40,No,Non-Travel,Research & Development,21,2,Technical Degree,1,Male,2,5,Research Scientist,1,Married,121674,2,No,17,3,1,1,23,3,2,3,17,2,9
69255,54,Yes,Non-Travel,Human Resources,14,4,Marketing,1,Male,3,1,Research Scientist,3,Divorced,191368,6,No,21,3,4,1,13,0,4,21,8,10,14
69256,38,Yes,Travel_Frequently,Sales,24,5,Human Resources,1,Female,2,2,Laboratory Technician,1,Single,79479,4,No,16,3,3,3,26,2,1,12,5,8,7
69257,44,No,Travel_Frequently,Sales,19,1,Human Resources,3,Male,3,5,Laboratory Technician,3,Divorced,109925,3,No,23,3,1,0,32,2,3,30,17,9,10
69258,18,No,Travel_Frequently,Human Resources,22,2,Human Resources,2,Female,2,3,Sales Executive,1,Single,179181,1,No,24,3,1,1,23,0,2,16,12,0,4
69259,26,Yes,Travel_Frequently,Research & Development,25,5,Technical Degree,4,Male,4,2,Research Scientist,3,Divorced,152457,4,Yes,14,3,4,3,33,6,1,3,6,11,7
69260,20,No,Travel_Rarely,Sales,18,1,Life Sciences,3,Male,4,5,Laboratory Technician,1,Single,60461,2,No,12,3,4,2,37,2,1,16,11,1,1
69261,55,No,Travel_Frequently,Sales,2,2,Human Resources,4,Male,1,4,Manufacturing Director,2,Single,77451,7,Yes,11,3,2,0,6,6,2,15,7,14,5
69262,53,No,Non-Travel,Sales,20,1,Other,1,Female,3,4,Sales Executive,2,Single,29295,3,No,25,3,3,1,27,1,1,2,3,3,3
69263,51,No,Non-Travel,Human Resources,9,5,Technical Degree,2,Male,4,1,Human Resources,2,Married,246638,6,No,19,3,1,1,32,2,2,38,8,12,14
69264,47,No,Non-Travel,Human Resources,1,5,Life Sciences,1,Female,4,1,Healthcare Representative,4,Divorced,202978,1,Yes,13,3,1,3,27,6,3,31,12,0,8
69265,48,No,Travel_Frequently,Human Resources,5,4,Marketing,1,Female,2,5,Sales Executive,2,Single,28565,3,Yes,20,3,1,3,9,3,4,9,16,15,16
69266,47,No,Travel_Rarely,Research & Development,4,4,Medical,4,Female,2,4,Laboratory Technician,3,Divorced,194922,2,No,10,4,4,1,22,4,2,0,2,12,11
69267,33,No,Travel_Frequently,Sales,11,5,Technical Degree,2,Female,2,3,Sales Executive,4,Single,198341,7,No,23,3,3,2,38,3,4,32,17,3,2
69268,46,No,Travel_Frequently,Human Resources,5,1,Life Sciences,4,Female,3,1,Sales Executive,4,Single,49562,5,No,16,3,2,1,29,6,4,35,15,11,1
69269,23,No,Travel_Frequently,Sales,17,4,Other,2,Female,2,4,Manager,2,Single,211052,7,No,10,3,2,3,7,5,4,20,5,2,0
69270,31,No,Travel_Frequently,Human Resources,9,1,Human Resources,1,Male,1,3,Human Resources,1,Married,213401,0,No,11,3,3,1,28,5,4,10,14,9,15
69271,27,No,Travel_Rarely,Human Resources,10,1,Human Resources,1,Female,2,2,Manufacturing Director,1,Divorced,170391,7,No,18,3,1,3,23,1,2,39,4,13,4
69272,41,No,Non-Travel,Sales,6,2,Other,2,Female,2,4,Human Resources,2,Single,192460,3,Yes,21,3,1,2,17,0,3,9,1,3,1
69273,53,No,Travel_Rarely,Sales,3,1,Marketing,2,Female,1,5,Manager,3,Married,193694,4,No,16,3,1,0,20,0,1,25,12,12,2
69274,41,No,Non-Travel,Sales,2,2,Medical,1,Male,4,2,Laboratory Technician,2,Single,32445,7,No,15,3,3,1,5,3,2,16,0,9,9
69275,24,Yes,Travel_Frequently,Research & Development,15,2,Life Sciences,3,Male,2,1,Manufacturing Director,4,Married,218849,7,No,17,3,1,3,38,0,2,28,9,0,15
69276,54,No,Travel_Rarely,Human Resources,28,4,Human Resources,4,Male,1,1,Manager,2,Single,107525,6,No,10,3,2,1,9,5,4,40,4,1,6
69277,57,No,Non-Travel,Research & Development,8,2,Marketing,2,Male,4,5,Sales Executive,2,Divorced,198946,1,No,19,3,4,1,39,2,3,18,8,14,11
69278,55,No,Non-Travel,Human Resources,30,3,Marketing,1,Male,2,5,Human Resources,2,Married,106216,8,Yes,10,3,3,0,38,0,3,19,14,3,14
69279,42,No,Travel_Rarely,Sales,10,4,Other,4,Male,4,4,Research Scientist,1,Divorced,246421,2,Yes,24,3,1,1,18,2,4,30,12,7,14
69280,60,No,Travel_Rarely,Research & Development,10,5,Life Sciences,2,Female,1,3,Human Resources,2,Single,196668,4,No,23,3,4,2,28,6,2,35,14,2,17
69281,51,No,Travel_Frequently,Human Resources,4,5,Life Sciences,2,Male,3,2,Human Resources,4,Single,194844,5,No,11,3,3,1,7,1,1,39,16,4,4
69282,18,No,Travel_Rarely,Research & Development,8,2,Technical Degree,4,Female,3,1,Manager,3,Single,37231,6,No,17,3,2,3,17,1,2,32,10,4,13
69283,45,Yes,Travel_Frequently,Sales,1,5,Human Resources,3,Male,2,3,Manager,2,Divorced,205733,2,Yes,20,3,1,0,32,3,1,3,11,7,15
69284,58,Yes,Travel_Rarely,Sales,25,5,Life Sciences,3,Male,1,1,Sales Executive,4,Divorced,67096,2,No,12,3,4,1,18,6,1,19,13,12,3
69285,46,Yes,Non-Travel,Sales,23,5,Medical,2,Male,3,5,Research Scientist,1,Divorced,204073,8,No,14,3,4,1,19,2,3,32,7,14,3
69286,49,No,Non-Travel,Human Resources,18,1,Medical,4,Female,3,2,Laboratory Technician,2,Single,17613,2,Yes,19,3,4,3,28,6,4,9,11,6,16
69287,22,No,Travel_Rarely,Human Resources,5,3,Life Sciences,3,Male,4,5,Laboratory Technician,2,Single,166152,6,No,11,3,1,2,26,0,4,11,9,9,13
69288,51,No,Travel_Rarely,Sales,11,3,Technical Degree,2,Male,3,4,Healthcare Representative,3,Married,232707,1,No,24,3,1,2,8,5,1,33,13,1,7
69289,43,No,Travel_Frequently,Sales,25,2,Human Resources,4,Male,1,4,Healthcare Representative,1,Divorced,225609,1,Yes,25,4,4,2,36,4,4,5,18,12,3
69290,30,No,Non-Travel,Human Resources,9,3,Other,1,Female,3,2,Manager,2,Married,43375,3,No,20,3,3,2,38,5,4,2,9,4,8
69291,29,No,Travel_Frequently,Sales,16,5,Other,3,Male,4,3,Healthcare Representative,1,Married,59790,2,No,11,3,3,1,32,1,3,4,2,7,14
69292,39,No,Travel_Rarely,Human Resources,3,1,Life Sciences,4,Female,1,1,Manager,4,Single,127816,2,No,20,3,4,0,12,6,2,16,10,11,7
69293,26,No,Travel_Rarely,Human Resources,21,2,Life Sciences,3,Male,4,3,Manufacturing Director,2,Single,219920,6,No,17,3,4,3,10,6,4,17,11,3,12
69294,23,Yes,Non-Travel,Research & Development,21,3,Marketing,3,Male,3,4,Human Resources,2,Single,153331,8,No,15,4,2,2,40,4,1,1,16,2,16
69295,53,Yes,Non-Travel,Sales,14,1,Life Sciences,4,Male,4,1,Research Scientist,1,Married,155234,3,No,15,3,4,1,1,2,1,36,12,0,15
69296,27,No,Travel_Frequently,Human Resources,30,3,Life Sciences,2,Male,3,4,Manufacturing Director,1,Divorced,212655,3,Yes,22,3,4,3,40,1,1,14,3,0,12
69297,54,No,Travel_Frequently,Human Resources,3,2,Other,1,Male,4,1,Human Resources,2,Single,71686,9,No,17,3,1,2,9,6,2,17,2,9,17
69298,49,No,Travel_Frequently,Human Resources,24,2,Marketing,2,Female,3,5,Human Resources,4,Single,117555,2,No,19,4,2,0,14,2,2,15,6,6,11
69299,21,No,Travel_Rarely,Human Resources,29,5,Marketing,4,Male,1,1,Manufacturing Director,1,Divorced,195057,6,No,24,3,4,0,13,6,3,8,2,13,14
69300,21,No,Travel_Rarely,Sales,1,3,Technical Degree,3,Male,4,5,Laboratory Technician,2,Married,83380,0,No,22,3,2,0,2,4,3,6,7,0,2
69301,30,No,Travel_Rarely,Research & Development,7,2,Marketing,2,Female,1,5,Manager,4,Married,76512,1,No,15,3,1,3,32,6,4,25,2,6,9
69302,33,No,Non-Travel,Research & Development,1,2,Human Resources,3,Male,3,3,Manager,4,Single,239579,5,Yes,23,3,3,1,27,5,4,6,9,14,8
69303,60,Yes,Travel_Rarely,Sales,19,3,Human Resources,3,Male,1,2,Human Resources,4,Married,244945,5,No,24,3,1,1,4,2,3,16,11,13,1
69304,43,Yes,Travel_Frequently,Human Resources,16,3,Marketing,1,Male,3,3,Research Scientist,3,Divorced,61281,8,Yes,10,3,1,0,28,1,4,7,15,1,1
69305,50,No,Non-Travel,Research & Development,19,3,Medical,4,Male,3,2,Healthcare Representative,3,Divorced,181484,7,No,15,3,2,1,20,1,1,4,14,0,14
69306,21,No,Non-Travel,Sales,29,5,Life Sciences,2,Male,3,3,Manufacturing Director,4,Divorced,224703,1,Yes,22,3,1,0,38,0,1,26,16,9,9
69307,43,No,Travel_Rarely,Human Resources,14,2,Marketing,2,Female,3,4,Healthcare Representative,1,Divorced,34811,0,No,11,3,1,1,37,4,4,33,18,0,12
69308,26,No,Non-Travel,Human Resources,29,2,Human Resources,2,Female,3,1,Manufacturing Director,1,Divorced,243206,3,No,23,3,2,1,23,4,4,31,7,9,12
69309,58,No,Travel_Rarely,Human Resources,12,1,Marketing,2,Male,1,1,Healthcare Representative,1,Divorced,232059,9,No,10,3,4,3,6,3,1,34,1,6,0
69310,28,No,Non-Travel,Research & Development,29,3,Medical,4,Male,3,2,Healthcare Representative,4,Married,245655,0,No,22,3,4,1,36,5,3,33,5,9,11
69311,22,No,Travel_Rarely,Sales,3,1,Technical Degree,3,Male,4,4,Healthcare Representative,4,Divorced,58535,6,No,23,3,2,0,26,1,1,11,2,2,12
69312,55,Yes,Travel_Rarely,Sales,6,1,Medical,4,Female,1,2,Sales Executive,1,Married,185159,6,Yes,11,3,3,3,14,5,1,15,6,14,2
69313,49,No,Travel_Rarely,Research & Development,12,2,Other,3,Male,1,5,Research Scientist,4,Married,187661,3,No,18,3,3,1,19,5,2,31,16,5,16
69314,46,Yes,Travel_Rarely,Research & Development,24,5,Human Resources,3,Female,4,3,Manager,4,Married,27318,4,No,18,3,4,3,27,3,1,34,6,1,15
69315,55,No,Travel_Rarely,Sales,29,2,Medical,3,Male,1,2,Healthcare Representative,4,Divorced,197343,8,Yes,18,3,3,1,35,5,4,8,10,6,7
69316,57,No,Travel_Frequently,Human Resources,20,1,Technical Degree,1,Male,1,3,Healthcare Representative,3,Married,234675,4,Yes,14,3,3,0,9,3,1,14,12,15,4
69317,45,No,Non-Travel,Research & Development,25,3,Marketing,4,Female,2,3,Laboratory Technician,4,Divorced,26535,2,No,22,3,4,3,30,6,3,4,16,14,3
69318,41,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,2,3,Sales Executive,2,Single,224837,1,Yes,22,3,4,0,22,4,2,38,7,2,5
69319,36,No,Non-Travel,Sales,16,4,Marketing,4,Male,3,4,Human Resources,4,Married,227414,2,Yes,20,3,2,1,37,5,3,25,3,4,14
69320,18,No,Travel_Rarely,Human Resources,13,5,Technical Degree,2,Male,4,3,Healthcare Representative,3,Divorced,55446,4,Yes,14,3,2,1,12,4,3,21,16,5,3
69321,22,Yes,Travel_Rarely,Sales,25,1,Technical Degree,2,Female,2,2,Research Scientist,2,Married,247629,6,No,17,4,4,2,28,1,1,26,1,13,17
69322,40,Yes,Non-Travel,Human Resources,25,2,Medical,2,Male,1,3,Manager,2,Single,66944,5,No,14,3,4,2,38,4,3,10,6,7,4
69323,36,No,Travel_Rarely,Research & Development,23,5,Other,2,Male,4,3,Manager,4,Divorced,189326,3,No,23,4,4,0,18,4,3,39,0,14,13
69324,19,No,Travel_Frequently,Human Resources,15,2,Human Resources,2,Male,1,4,Manufacturing Director,4,Married,166029,2,No,20,3,1,2,12,6,2,18,15,2,14
69325,19,No,Travel_Rarely,Research & Development,18,5,Human Resources,4,Female,1,4,Manufacturing Director,3,Married,62477,5,No,14,3,2,0,2,6,4,5,4,9,7
69326,26,No,Travel_Frequently,Research & Development,22,5,Technical Degree,1,Male,2,4,Laboratory Technician,4,Single,72551,7,No,18,4,3,3,0,6,3,36,0,2,14
69327,35,No,Non-Travel,Sales,22,1,Medical,4,Male,4,1,Research Scientist,4,Married,216521,5,No,24,4,2,2,21,3,4,14,5,3,9
69328,33,No,Travel_Frequently,Sales,22,4,Life Sciences,4,Female,2,1,Laboratory Technician,1,Divorced,239514,3,No,15,3,2,1,4,4,4,35,0,9,2
69329,56,No,Non-Travel,Sales,4,4,Human Resources,1,Male,2,5,Manager,3,Divorced,29797,1,No,16,3,1,3,39,3,2,7,14,14,11
69330,26,Yes,Travel_Rarely,Human Resources,29,4,Medical,2,Female,3,4,Healthcare Representative,2,Divorced,141552,6,No,17,3,4,0,16,0,4,34,12,0,4
69331,40,No,Travel_Rarely,Research & Development,28,5,Life Sciences,4,Female,2,5,Laboratory Technician,3,Single,165034,0,No,18,3,2,2,36,6,2,24,4,4,11
69332,50,No,Travel_Rarely,Research & Development,22,4,Technical Degree,1,Female,3,3,Manager,3,Married,61366,7,No,21,3,3,1,18,3,3,14,7,3,6
69333,55,No,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,4,3,Research Scientist,2,Divorced,173684,0,No,21,3,2,3,34,5,1,5,1,2,15
69334,51,No,Travel_Frequently,Research & Development,17,4,Human Resources,1,Female,1,4,Sales Executive,1,Married,151935,5,Yes,24,3,4,2,25,1,2,30,4,8,7
69335,43,No,Travel_Rarely,Sales,25,2,Human Resources,3,Male,3,2,Manufacturing Director,2,Divorced,169871,0,No,19,3,4,1,15,3,1,2,3,10,7
69336,34,No,Travel_Rarely,Research & Development,20,2,Technical Degree,3,Female,4,5,Human Resources,3,Divorced,62922,0,No,20,3,2,1,29,0,2,23,13,14,6
69337,31,No,Travel_Frequently,Human Resources,24,5,Life Sciences,4,Male,2,2,Manager,2,Married,64427,7,No,17,3,3,1,16,6,2,18,5,10,9
69338,30,No,Travel_Frequently,Sales,28,1,Medical,1,Male,2,2,Research Scientist,2,Divorced,103119,6,No,24,3,4,2,14,3,2,38,12,0,3
69339,39,No,Non-Travel,Research & Development,16,4,Technical Degree,1,Female,4,2,Healthcare Representative,1,Divorced,222501,7,No,21,3,2,2,16,4,2,30,1,11,0
